Gene,Importance
201270_x_at,8.970062915299248
205603_s_at,8.91973634583372
203937_s_at,8.890040953332038
207094_at,8.88621516439169
203127_s_at,8.880752975392443
216250_s_at,8.869223381392734
205003_at,8.865077468741614
203665_at,8.863117387548307
212121_at,8.861834696120905
213974_at,8.857614009092638
206563_s_at,8.854359442508892
219393_s_at,8.850560587973783
203881_s_at,8.848206121887662
202675_at,8.845224796824908
213321_at,8.845205527559315
219065_s_at,8.841605572595075
216179_x_at,8.840546962672526
216421_at,8.839965252869433
211963_s_at,8.825931253947886
207980_s_at,8.825451578216537
210654_at,8.82284747030884
211936_at,8.822235492047067
207622_s_at,8.820278022291951
204345_at,8.818883996837542
219262_at,8.817890370541418
200026_at,8.816452544166085
219571_s_at,8.809148804731214
201475_x_at,8.808606551716867
207323_s_at,8.803848241332409
206111_at,8.801246222532683
212911_at,8.797324913143216
204918_s_at,8.795318369111175
221300_at,8.787640034067632
215444_s_at,8.785314048655525
207092_at,8.785152340459454
208636_at,8.78431953545456
205430_at,8.78414130457564
206072_at,8.783253040639623
211976_at,8.781830580329888
204753_s_at,8.78004778922029
220683_at,8.777273741865177
208651_x_at,8.776916303402096
220571_at,8.77587593472112
217021_at,8.773847841379276
213091_at,8.772986148633557
202759_s_at,8.77131156114317
201348_at,8.771034719834807
212690_at,8.770200479412884
208068_x_at,8.768836954480182
208303_s_at,8.768012369953356
